first_name,last_name,date_of_birth,offence_date,lat,long
Talia,Marthe,2002-11-20,2020-02-05,51.56377410035511,-0.20958448332951957
Eleonora,Ventry,2009-05-22,2020-11-16,51.59024647754849,-0.2477311399481373
Mee,Lapinski,2010-09-06,2020-08-21,41.358398682100336,-72.05025110573696
Sol,Cowser,2004-03-05,2020-08-11,51.547706452066684,-0.2683617876379492
Ty,Feeback,2008-12-14,2020-11-01,51.53440325957179,-0.2542550251754517
Anabel,Baldock,2005-03-29,2020-01-03,51.563676625807645,-0.25742522040109267
Cora,Mossing,2009-12-02,2020-02-22,51.540113597044375,-0.22368023542175983
Eileen,Montecalvo,1995-09-05,2020-10-31,41.3108479160885,-72.10475676348197
Verda,Chiphe,2008-02-06,2020-01-26,51.55682910121004,-0.1714969776447887
Karma,Quarto,2009-12-10,2020-11-07,51.56086356398622,-0.19789026421928912
Walton,Yuki,1997-06-10,2020-10-01,51.536039077760364,-0.23790345872214946
Tamekia,Flotow,2004-02-05,2020-10-07,51.575767132588034,-0.21447916429112313
Elbert,Drawe,2004-12-11,2020-03-09,51.63072656824576,-0.23908213770094658
Eloisa,Faurote,2005-08-22,2020-06-24,51.536261309919446,-0.17159819939650992
Jaleesa,Polintan,2007-12-01,2020-11-15,51.54919016715821,-0.25490408645602736
Keneth,Stpierrie,2006-07-27,2020-04-30,51.53643559240924,-0.1810201336059998
Tonja,Driesenga,1997-03-13,2020-10-26,41.52552934681123,-72.0702677545817
Melvin,Setter,2007-05-27,2020-10-20,51.587128571280005,-0.2821685052355409
Jeannetta,Coolidge,2004-10-05,2020-10-14,51.53395844779056,-0.2540132704397802
Kerrie,Makuch,2005-05-07,2020-06-05,51.5435539306652,-0.13622953076127128
Galen,Wendorf,2008-05-10,2020-12-25,51.573491085665424,-0.19174853870717773
Zita,Speltz,2006-09-03,2020-01-14,51.58724744733952,-0.22446380656561196
France,Andrade,2009-07-06,2020-02-11,51.55458294270221,-0.21430880636185934
Arletta,Naomi,1998-01-28,2020-11-08,51.54785864988906,-0.22694493726886944
Val,Villot,2008-06-22,2020-03-16,51.52275088863677,-0.14134196684185343
Shaquana,Featherston,1989-10-08,2020-08-26,51.55783728876133,-0.19231187003170483
Kristine,Klipfel,2009-02-11,2020-01-26,51.562586602624116,-0.23074072828983563
Whitney,Tishler,2008-09-20,2020-05-25,51.53431922275342,-0.17839732511244177
Emiko,Sayre,2004-07-09,2020-08-16,51.55289348194427,-0.14252657252014936
Shanda,Lunger,2001-05-02,2020-06-18,51.46457529352011,-0.286199116494654
Gilberto,Feagins,1997-08-21,2020-05-14,51.55544173939554,-0.16402358557568955
Tamesha,Veigel,2004-02-07,2020-12-08,51.584599523084385,-0.20030512915349663
Graham,Stanwick,2006-06-11,2020-12-31,51.52665363224939,-0.26079131950535517
Cherelle,Sorrel,2010-04-14,2020-03-05,51.53407660126316,-0.18434884589756162
Patti,Rempel,2005-05-20,2020-08-20,51.58483916409782,-0.00801423974394075
Pearlie,Flori,2004-02-29,2020-03-14,51.53721226675825,-0.23254530464750786
Dustin,Klingaman,2007-02-24,2020-09-13,51.54475346340705,-0.14840016149843116
Cassandra,Bludworth,2005-01-09,2020-07-24,51.5874946600008,-0.19988479200094988
Emilio,Withers,2007-10-10,2020-09-24,51.55889812190914,-0.22024327123364573
Mari,Smeby,2003-11-14,2020-10-03,51.55422848382673,-0.14531773810703774
Ronna,Mittler,2011-07-23,2020-03-24,51.57632772617572,-0.2156177053169594
Bettina,Kham,2007-10-22,2020-12-26,51.52971877990038,-0.17669450593104688
Melita,Szpak,2005-06-26,2020-05-01,51.587310885446804,-0.24711870723627782
Shantay,Hopman,2009-09-14,2020-01-22,51.57967913767986,-0.17890585176850995
Kayleigh,Bendle,2006-09-27,2020-11-23,41.356363572494395,-72.05091768555786
Freida,Newyear,2004-12-18,2020-11-11,51.55766710725808,-0.19366502873423466
Ulysses,Mcwalters,2004-12-17,2020-05-18,51.544447817402734,-0.23331283307315423
